Sales Person,Industry,Q1 Quota Split,Q2 Quota Split,Q3 Quota Split,Q4 Quota Split,REVENUE SIZE,COMMISSION SPLIT (TCV),COMMISSION SPLIT(ACV)
Bryan Roberts,Fishing,30%,30%,20%,20%,"2,000,000",0%,95%
Chris Carpenter,Education,30%,25%,15%,30%,"5,000,000",0%,88%
Devina Meyers,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,99%
Doug Cramer,Pharmaceuticals,25%,25%,25%,25%,0,0%,88%
Elsa Phuong,Mining,24%,26%,25%,25%,0,0%,93%
Greg Corniea,Fishing,30%,30%,20%,20%,"5,000,000",0%,94%
James Hirasawa,Pharmaceuticals,25%,25%,25%,25%,0,0%,92%
John Doe,Software,23%,27%,25%,25%,"10,000,000,000",0%,99%
Julie LeFrancois,Education,30%,25%,15%,30%,0,0%,96%
Matthew Hathaway,Healthcare,24%,26%,25%,25%,"10,000,000,000",0%,100%
Matthew Yellowstone,Oil and Gas,25%,25%,25%,25%,"5,000,000",0%,89%
Ramesh Nagpal,Travel,20%,30%,30%,20%,"1,000,000,000",0%,95%
Vern Hernandez,Technology Hardware,20%,25%,30%,25%,"50,000,000",0%,99%
jjj kkk,Alcohol,20%,20%,30%,30%,"1,000,000,000",0%,99%
mmm nnn,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,94%
ooo ppp,Technology Services,22%,28%,25%,25%,"50,000,000",0%,92%
qqq rrr,Software,23%,27%,25%,25%,"2,000,000",89%,0%
sss ttt,Biomedical,25%,25%,25%,25%,"500,000",0%,96%
uuu vvv,Appliances,22%,28%,25%,25%,"5,000,000",0%,97%
www xxx,Healthcare,24%,26%,25%,25%,"5,000,000",0%,94%
yyy zzz,Other,25%,25%,25%,25%,"10,000,000,000",0%,99%
aaa bbb,Biomedical,25%,25%,25%,25%,"5,000,000",0%,90%
ccc ddd,Automotive,20%,25%,30%,25%,"5,000,000",0%,91%
Genevieve Cheona,Education,30%,25%,15%,30%,"10,000,000",0%,99%
Zendaya Anderson,Education,30%,25%,15%,30%,"2,000,000",0%,100%
Shauna Akpabio,Medical Equipment,25%,25%,25%,25%,0,0%,97%
Zendaya Anderson,Pharmaceuticals,25%,25%,25%,25%,"10,000,000",0%,95%
Genevieve Lenkov,Construction,15%,25%,35%,25%,"1,000,000,000",0%,92%
Elisa O’Reilly,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,93%
Famke Bianchi,Biomedical,25%,25%,25%,25%,"5,000,000",0%,96%
Ansley Lenkov,Travel,20%,30%,30%,20%,"5,000,000",0%,96%
Kavya Zhào,Technology Services,22%,28%,25%,25%,"1,000,000",0%,98%
Katharina Johnson,Travel,20%,30%,30%,20%,"5,000,000",0%,89%
Sadhbh Agrinya,Mining,24%,26%,25%,25%,"500,000",0%,98%
Carolos Ailana,Other,25%,25%,25%,25%,"1,000,000,000",0%,95%
Lana Johnson,Biomedical,25%,25%,25%,25%,"100,000,000,000",0%,97%
Faizan Ailana,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,94%
Kira Semenov,Security Hardware,20%,25%,30%,25%,"1,000,000,000",0%,93%
Kavya Baros,Security Software,22%,28%,25%,25%,"500,000",0%,98%
Gilbert Abdul,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,95%
Eoin Ai’la’ausd,Biotechnology,24%,26%,25%,25%,"100,000,000,000",0%,98%
Louis Daly,Healthcare,24%,26%,25%,25%,"100,000,000",0%,89%
Zauqi  Apeldoorn,Construction,15%,25%,35%,25%,"5,000,000",0%,98%
Senan Gillies,Agriculture,15%,20%,35%,30%,"100,000,000",0%,89%
Lourdes Ryan,Agriculture,15%,20%,35%,30%,"1,000,000",0%,91%
Keanu Ryan,Education,30%,25%,15%,30%,"100,000,000",0%,97%
Dmitri Pavlov,Travel,20%,30%,30%,20%,0,0%,92%
Dmitri Aria,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,93%
Kabir Desjardins,Other,25%,25%,25%,25%,"1,000,000,000",0%,98%
Kirsty Bruno,Software,23%,27%,25%,25%,"500,000",93%,0%
Connor Weber,Oil and Gas,25%,25%,25%,25%,"1,000,000",0%,88%
